Days until Eday,DEM-IPEV: Total,REP-IPEV: Total,OTH-IPEV: Total,DEM-IPEV: Cumulative %,REP-IPEV: Cumulative %,OTH-IPEV: Cumulative %,DEM-IPEV: Daily Tally,REP-IPEV: Daily Tally,OTH-IPEV: Daily Tally,DEM-IPEV: Daily Tally %,REP-IPEV: Daily Tally %,OTH-IPEV: Daily Tally %,DEM-VBM: Total,REP-VBM: Total,OTH-VBM: Total,DEM-VBM: Cumulative %,REP-VBM: Cumulative %,OTH-VBM: Cumulative %,DEM-VBM: Daily Tally,REP-VBM: Daily Tally,OTH-VBM: Daily Tally,DEM-VBM: Daily Tally %,REP-VBM: Daily Tally %,OTH-VBM: Daily Tally %,DEM-TOT: Total,REP-TOT: Total,OTH-TOT: Total,DEM-TOT: Cumulative %,REP-TOT: Cumulative %,OTH-TOT: Cumulative %,DEM-TOT: Daily Tally,REP-TOT: Daily Tally,OTH-TOT: Daily Tally,DEM-TOT: Daily Tally %,REP-TOT: Daily Tally %,OTH-TOT: Daily Tally %
29,,,,,,,,,,,,,4913,5813,2024,38.5333333333333,45.5921568627451,15.8745098039216,4913,5813,2024,38.5333333333333,45.5921568627451,15.8745098039216,4913,5813,2024,38.5333333333333,45.5921568627451,15.8745098039216,4913,5813,2024,38.5333333333333,45.5921568627451,15.8745098039216
28,,,,,,,,,,,,,5899,6983,2525,38.2877912637113,45.3235542285974,16.3886545076913,986,1170,501,37.1095220173128,44.0346255175009,18.8558524651863,5899,6983,2525,38.2877912637113,45.3235542285974,16.3886545076913,986,1170,501,37.1095220173128,44.0346255175009,18.8558524651863
27,,,,,,,,,,,,,7251,8317,3097,38.8481114385213,44.5593356549692,16.5925529065095,1352,1334,572,41.4978514426028,40.9453652547575,17.5567833026397,7251,8317,3097,38.8481114385213,44.5593356549692,16.5925529065095,1352,1334,572,41.4978514426028,40.9453652547575,17.5567833026397
26,,,,,,,,,,,,,7639,8696,3267,38.9705132129375,44.3628201203959,16.6666666666667,388,379,170,41.4087513340448,40.4482390608324,18.1430096051227,7639,8696,3267,38.9705132129375,44.3628201203959,16.6666666666667,388,379,170,41.4087513340448,40.4482390608324,18.1430096051227
25,,,,,,,,,,,,,9069,10009,3920,39.4338638142447,43.5211757544134,17.0449604313419,1430,1313,653,42.1083627797409,38.6631330977621,19.2285041224971,9069,10009,3920,39.4338638142447,43.5211757544134,17.0449604313419,1430,1313,653,42.1083627797409,38.6631330977621,19.2285041224971
24,,,,,,,,,,,,,10591,11300,4508,40.1189438993901,42.804651691352,17.0764044092579,1522,1291,588,44.7515436636284,37.9594236989121,17.2890326374596,10591,11300,4508,40.1189438993901,42.804651691352,17.0764044092579,1522,1291,588,44.7515436636284,37.9594236989121,17.2890326374596
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,10736,11398,4543,40.244405292949,42.7259436968175,17.0296510102335,145,98,35,52.158273381295,35.2517985611511,12.589928057554,10736,11398,4543,40.244405292949,42.7259436968175,17.0296510102335,145,98,35,52.158273381295,35.2517985611511,12.589928057554
20,,,,,,,,,,,,,11366,11972,4790,40.4081342434585,42.5625711035267,17.0292946530148,630,574,247,43.4183321847002,39.5589248793935,17.0227429359063,11366,11972,4790,40.4081342434585,42.5625711035267,17.0292946530148,630,574,247,43.4183321847002,39.5589248793935,17.0227429359063
19,,,,,,,,,,,,,12099,12506,5034,40.8212152906643,42.1944060190965,16.9843786902392,733,534,244,48.5109199205824,35.3408338848445,16.1482461945731,12099,12506,5034,40.8212152906643,42.1944060190965,16.9843786902392,733,534,244,48.5109199205824,35.3408338848445,16.1482461945731
18,,,,,,,,,,,,,12577,12883,5203,41.0168607116068,42.0148061181228,16.9683331702704,478,377,169,46.6796875,36.81640625,16.50390625,12577,12883,5203,41.0168607116068,42.0148061181228,16.9683331702704,478,377,169,46.6796875,36.81640625,16.50390625
17,,,,,,,,,,,,,13558,13711,5597,41.2523580600012,41.7178847441125,17.0297571958863,981,828,394,44.5301861098502,37.5851112119837,17.8847026781661,13558,13711,5597,41.2523580600012,41.7178847441125,17.0297571958863,981,828,394,44.5301861098502,37.5851112119837,17.8847026781661
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,13659,13780,5620,41.3170392328867,41.6830515139599,16.9999092531535,101,69,23,52.3316062176166,35.7512953367876,11.9170984455959,13659,13780,5620,41.3170392328867,41.6830515139599,16.9999092531535,101,69,23,52.3316062176166,35.7512953367876,11.9170984455959
13,,,,,,,,,,,,,14295,14285,5856,41.5117899872227,41.4827506098269,17.0054594029504,636,505,236,46.1873638344227,36.6739288307916,17.1387073347858,14295,14285,5856,41.5117899872227,41.4827506098269,17.0054594029504,636,505,236,46.1873638344227,36.6739288307916,17.1387073347858
12,,,,,,,,,,,,,14520,14464,5908,41.6141235813367,41.4536283388742,16.9322480797891,225,179,52,49.3421052631579,39.2543859649123,11.4035087719298,14520,14464,5908,41.6141235813367,41.4536283388742,16.9322480797891,225,179,52,49.3421052631579,39.2543859649123,11.4035087719298
11,,,,,,,,,,,,,15160,14937,6125,41.8530175031749,41.2373695544144,16.9096129424107,640,473,217,48.1203007518797,35.5639097744361,16.3157894736842,15160,14937,6125,41.8530175031749,41.2373695544144,16.9096129424107,640,473,217,48.1203007518797,35.5639097744361,16.3157894736842
10,2902,3058,771,43.1139503788442,45.431585202793,11.4544644183628,2902,3058,771,43.1139503788442,45.431585202793,11.4544644183628,15213,14972,6136,41.8848599983481,41.2213320117838,16.8938079898681,53,35,11,53.5353535353535,35.3535353535354,11.1111111111111,18115,18030,6907,42.0770231348137,41.8795874756109,16.0433893895754,2955,3093,782,43.2650073206442,45.285505124451,11.4494875549048
9,4012,4526,1127,41.5106052767719,46.8287635799276,11.6606311433006,1110,1468,356,37.8323108384458,50.0340831629175,12.1336059986367,15449,15096,6207,42.035807575098,41.0753156290814,16.8888767958206,236,124,71,54.7563805104408,28.7703016241299,16.4733178654292,19461,19622,7334,41.9264493612254,42.2733050391021,15.8002455996725,1346,1592,427,40,47.3105497771174,12.6894502228826
8,6241,8221,1949,38.0293705441472,50.0944488452867,11.8761806105661,2229,3695,822,33.0418025496591,54.7731989327009,12.1849985176401,16533,15810,6596,42.4587174811885,40.6019671794345,16.939315339377,1084,714,389,49.5656149977138,32.6474622770919,17.7869227251943,22774,24031,8545,41.1454381210479,43.416440831075,15.4381210478771,3313,4409,1211,37.0872047464458,49.3563192656442,13.55647598791
7,8392,12117,2822,35.969311216836,51.9351935193519,12.0954952638121,2151,3896,873,31.0838150289017,56.3005780346821,12.6156069364162,16878,16000,6693,42.6524474994314,40.4336509059665,16.9139015946021,345,190,97,54.5886075949367,30.0632911392405,15.3481012658228,25270,28117,9515,40.1736033830403,44.6996915837334,15.1267050332263,2496,4086,970,33.0508474576271,54.1048728813559,12.844279661017
6,10409,15473,3679,35.2119346436183,52.3426135787017,12.4454517776801,2017,3356,857,32.3756019261637,53.868378812199,13.7560192616372,17757,16558,7030,42.9483613496191,40.0483734429798,17.0032652074011,879,558,337,49.5490417136415,31.4543404735062,18.9966178128523,28166,32031,10709,39.7230135672581,45.1738921953008,15.1030942374411,2896,3914,1194,36.1819090454773,48.9005497251374,14.9175412293853
5,11544,17329,4261,34.8403452646828,52.29975252007,12.8599022152472,1135,1856,582,31.766022949902,51.9451441365799,16.2888329135181,18214,16893,7180,43.0723390167191,39.9484475134202,16.9792134698607,457,335,150,48.5138004246285,35.5626326963907,15.9235668789809,29758,34222,11441,39.4558544702404,45.3746304079766,15.1695151217831,1592,2191,732,35.2602436323367,48.5271317829457,16.2126245847176
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
