Contest,Candidate Issue,Party,Precinct Name,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
Rep in Congress District 6,James David Stockton III,DEM,101,61,35,70,166,19.19
Rep in Congress District 6,Michael Waltz,REP,101,134,196,368,698,80.69
Rep in Congress District 6,Write-in,,101,-,-,-,1,0.12
Rep in Congress District 6,James David Stockton III,DEM,102,-,-,-,132,23
Rep in Congress District 6,Michael Waltz,REP,102,73,75,292,440,76.66
Rep in Congress District 6,Write-in,,102,-,-,-,2,0.35
Rep in Congress District 6,James David Stockton III,DEM,103,76,37,71,184,18.18
Rep in Congress District 6,Michael Waltz,REP,103,151,264,412,827,81.72
Rep in Congress District 6,Write-in,,103,-,-,-,1,0.1
Rep in Congress District 6,James David Stockton III,DEM,104,465,289,234,988,29.32
Rep in Congress District 6,Michael Waltz,REP,104,545,1050,786,2381,70.65
Rep in Congress District 6,Write-in,,104,-,-,-,1,0.03
Rep in Congress District 6,James David Stockton III,DEM,105,-,-,-,97,21.85
Rep in Congress District 6,Michael Waltz,REP,105,82,177,88,347,78.15
Rep in Congress District 6,Write-in,,105,0,0,0,0,0
Rep in Congress District 6,James David Stockton III,DEM,201,235,140,140,515,28.52
Rep in Congress District 6,Michael Waltz,REP,201,323,485,479,1287,71.26
Rep in Congress District 6,Write-in,,201,-,-,-,4,0.22
Rep in Congress District 6,James David Stockton III,DEM,202,-,-,-,48,22.02
Rep in Congress District 6,Michael Waltz,REP,202,53,73,43,169,77.52
Rep in Congress District 6,Write-in,,202,-,-,-,1,0.46
Rep in Congress District 6,James David Stockton III,DEM,203,-,-,-,106,23.61
Rep in Congress District 6,Michael Waltz,REP,203,80,142,120,342,76.17
Rep in Congress District 6,Write-in,,203,-,-,-,1,0.22
Rep in Congress District 6,James David Stockton III,DEM,204,223,212,187,622,29.83
Rep in Congress District 6,Michael Waltz,REP,204,298,656,506,1460,70.02
Rep in Congress District 6,Write-in,,204,-,-,-,3,0.14
Rep in Congress District 6,James David Stockton III,DEM,205,593,422,257,1272,31.18
Rep in Congress District 6,Michael Waltz,REP,205,761,1308,732,2801,68.65
Rep in Congress District 6,Write-in,,205,-,-,-,7,0.17
Rep in Congress District 6,James David Stockton III,DEM,206,278,211,175,664,34.19
Rep in Congress District 6,Michael Waltz,REP,206,299,551,424,1274,65.6
Rep in Congress District 6,Write-in,,206,-,-,-,4,0.21
Rep in Congress District 6,James David Stockton III,DEM,207,330,324,146,800,36.5
Rep in Congress District 6,Michael Waltz,REP,207,328,724,337,1389,63.37
Rep in Congress District 6,Write-in,,207,-,-,-,3,0.14
Rep in Congress District 6,James David Stockton III,DEM,208,577,459,304,1340,40.04
Rep in Congress District 6,Michael Waltz,REP,208,449,996,555,2000,59.76
Rep in Congress District 6,Write-in,,208,-,-,-,7,0.21
Rep in Congress District 6,James David Stockton III,DEM,209,778,685,439,1902,46.56
Rep in Congress District 6,Michael Waltz,REP,209,491,1059,629,2179,53.34
Rep in Congress District 6,Write-in,,209,-,-,-,4,0.1
Rep in Congress District 6,James David Stockton III,DEM,210,646,527,309,1482,45.85
Rep in Congress District 6,Michael Waltz,REP,210,492,781,475,1748,54.08
Rep in Congress District 6,Write-in,,210,-,-,-,2,0.06
Rep in Congress District 6,James David Stockton III,DEM,211,793,798,477,2068,48.04
Rep in Congress District 6,Michael Waltz,REP,211,539,1144,548,2231,51.82
Rep in Congress District 6,Write-in,,211,-,-,-,6,0.14
Rep in Congress District 6,James David Stockton III,DEM,212,484,430,331,1245,61.42
Rep in Congress District 6,Michael Waltz,REP,212,259,336,186,781,38.53
Rep in Congress District 6,Write-in,,212,-,-,-,1,0.05
Rep in Congress District 6,James David Stockton III,DEM,214,156,130,69,355,27.58
Rep in Congress District 6,Michael Waltz,REP,214,247,416,268,931,72.34
Rep in Congress District 6,Write-in,,214,-,-,-,1,0.08
Rep in Congress District 6,James David Stockton III,DEM,215,-,-,-,39,26.9
Rep in Congress District 6,Michael Waltz,REP,215,-,-,-,106,73.1
Rep in Congress District 6,Write-in,,215,0,0,0,0,0
Rep in Congress District 6,James David Stockton III,DEM,216,1316,971,318,2605,41.07
Rep in Congress District 6,Michael Waltz,REP,216,1140,1932,664,3736,58.9
Rep in Congress District 6,Write-in,,216,-,-,-,2,0.03
Rep in Congress District 6,James David Stockton III,DEM,501,498,329,184,1011,30.77
Rep in Congress District 6,Michael Waltz,REP,501,595,1069,607,2271,69.11
Rep in Congress District 6,Write-in,,501,-,-,-,4,0.12
Rep in Congress District 6,James David Stockton III,DEM,502,347,208,73,628,30.41
Rep in Congress District 6,Michael Waltz,REP,502,485,678,274,1437,69.59
Rep in Congress District 6,Write-in,,502,0,0,0,0,0
Rep in Congress District 6,James David Stockton III,DEM,503,1019,802,305,2126,35.47
Rep in Congress District 6,Michael Waltz,REP,503,951,2185,718,3854,64.3
Rep in Congress District 6,Write-in,,503,-,-,-,14,0.23
Rep in Congress District 6,James David Stockton III,DEM,504,126,91,46,263,24.15
Rep in Congress District 6,Michael Waltz,REP,504,175,455,195,825,75.76
Rep in Congress District 6,Write-in,,504,-,-,-,1,0.09
Rep in Congress District 6,James David Stockton III,DEM,505,72,45,31,148,20.58
Rep in Congress District 6,Michael Waltz,REP,505,88,328,154,570,79.28
Rep in Congress District 6,Write-in,,505,-,-,-,1,0.14
Rep in Congress District 6,James David Stockton III,DEM,506,436,458,260,1154,40.1
Rep in Congress District 6,Michael Waltz,REP,506,301,888,525,1714,59.56
Rep in Congress District 6,Write-in,,506,-,-,-,10,0.35
Rep in Congress District 6,James David Stockton III,DEM,507,349,243,129,721,32.46
Rep in Congress District 6,Michael Waltz,REP,507,385,729,382,1496,67.36
Rep in Congress District 6,Write-in,,507,-,-,-,4,0.18
Rep in Congress District 6,James David Stockton III,DEM,508,211,246,79,536,34.76
Rep in Congress District 6,Michael Waltz,REP,508,216,547,242,1005,65.18
Rep in Congress District 6,Write-in,,508,-,-,-,1,0.06
Rep in Congress District 6,James David Stockton III,DEM,509,218,223,81,522,28
Rep in Congress District 6,Michael Waltz,REP,509,304,742,294,1340,71.89
Rep in Congress District 6,Write-in,,509,-,-,-,2,0.11
Rep in Congress District 6,James David Stockton III,DEM,510,-,-,-,29,17.26
Rep in Congress District 6,Michael Waltz,REP,510,-,-,-,139,82.74
Rep in Congress District 6,Write-in,,510,0,0,0,0,0
Rep in Congress District 6,James David Stockton III,DEM,511,307,260,108,675,33.75
Rep in Congress District 6,Michael Waltz,REP,511,356,705,262,1323,66.15
Rep in Congress District 6,Write-in,,511,-,-,-,2,0.1
Rep in Congress District 6,James David Stockton III,DEM,512,709,712,256,1677,39.87
Rep in Congress District 6,Michael Waltz,REP,512,546,1459,517,2522,59.96
Rep in Congress District 6,Write-in,,512,-,-,-,7,0.17
Rep in Congress District 6,James David Stockton III,DEM,513,264,250,113,627,35.03
Rep in Congress District 6,Michael Waltz,REP,513,254,634,270,1158,64.69
Rep in Congress District 6,Write-in,,513,-,-,-,5,0.28
Rep in Congress District 6,James David Stockton III,DEM,514,590,568,185,1343,33.99
Rep in Congress District 6,Michael Waltz,REP,514,712,1399,489,2600,65.81
Rep in Congress District 6,Write-in,,514,-,-,-,8,0.2
Rep in Congress District 6,James David Stockton III,DEM,515,432,404,179,1015,35.8
Rep in Congress District 6,Michael Waltz,REP,515,431,967,417,1815,64.02
Rep in Congress District 6,Write-in,,515,-,-,-,5,0.18
Rep in Congress District 6,James David Stockton III,DEM,516,645,386,127,1158,36.3
Rep in Congress District 6,Michael Waltz,REP,516,640,1047,344,2031,63.67
Rep in Congress District 6,Write-in,,516,-,-,-,1,0.03
Rep in Congress District 6,James David Stockton III,DEM,517,490,508,203,1201,36.06
Rep in Congress District 6,Michael Waltz,REP,517,451,1189,484,2124,63.76
Rep in Congress District 6,Write-in,,517,-,-,-,6,0.18
Rep in Congress District 6,James David Stockton III,DEM,518,155,187,177,519,40.23
Rep in Congress District 6,Michael Waltz,REP,518,154,313,299,766,59.38
Rep in Congress District 6,Write-in,,518,-,-,-,5,0.39
Rep in Congress District 6,James David Stockton III,DEM,519,196,184,89,469,38.99
Rep in Congress District 6,Michael Waltz,REP,519,174,359,199,732,60.85
Rep in Congress District 6,Write-in,,519,-,-,-,2,0.17
Rep in Congress District 6,James David Stockton III,DEM,520,204,196,130,530,43.34
Rep in Congress District 6,Michael Waltz,REP,520,134,299,258,691,56.5
Rep in Congress District 6,Write-in,,520,-,-,-,2,0.16
Rep in Congress District 6,James David Stockton III,DEM,521,199,218,105,522,38.78
Rep in Congress District 6,Michael Waltz,REP,521,167,411,246,824,61.22
Rep in Congress District 6,Write-in,,521,0,0,0,0,0
Rep in Congress District 6,James David Stockton III,DEM,601,916,848,180,1944,33.06
Rep in Congress District 6,Michael Waltz,REP,601,968,2368,597,3933,66.89
Rep in Congress District 6,Write-in,,601,-,-,-,3,0.05
Rep in Congress District 6,James David Stockton III,DEM,602,490,445,265,1200,40.07
Rep in Congress District 6,Michael Waltz,REP,602,514,779,497,1790,59.77
Rep in Congress District 6,Write-in,,602,-,-,-,5,0.17
Rep in Congress District 6,James David Stockton III,DEM,603,365,720,447,1532,69.38
Rep in Congress District 6,Michael Waltz,REP,603,119,343,211,673,30.48
Rep in Congress District 6,Write-in,,603,-,-,-,3,0.14
Rep in Congress District 6,James David Stockton III,DEM,604,98,260,152,510,64.23
Rep in Congress District 6,Michael Waltz,REP,604,45,153,82,280,35.26
Rep in Congress District 6,Write-in,,604,-,-,-,4,0.5
Rep in Congress District 6,James David Stockton III,DEM,605,134,209,91,434,77.36
Rep in Congress District 6,Michael Waltz,REP,605,-,-,-,126,22.46
Rep in Congress District 6,Write-in,,605,-,-,-,1,0.18
Rep in Congress District 6,James David Stockton III,DEM,606,259,563,260,1082,81.17
Rep in Congress District 6,Michael Waltz,REP,606,41,140,68,249,18.68
Rep in Congress District 6,Write-in,,606,-,-,-,2,0.15
Rep in Congress District 6,James David Stockton III,DEM,607,211,481,321,1013,81.63
Rep in Congress District 6,Michael Waltz,REP,607,30,110,85,225,18.13
Rep in Congress District 6,Write-in,,607,-,-,-,3,0.24
Rep in Congress District 6,James David Stockton III,DEM,608,-,-,-,44,48.89
Rep in Congress District 6,Michael Waltz,REP,608,-,-,-,46,51.11
Rep in Congress District 6,Write-in,,608,0,0,0,0,0
Rep in Congress District 6,James David Stockton III,DEM,609,45,61,52,158,54.3
Rep in Congress District 6,Michael Waltz,REP,609,-,-,-,132,45.36
Rep in Congress District 6,Write-in,,609,-,-,-,1,0.34
Rep in Congress District 6,James David Stockton III,DEM,610,334,302,135,771,35.14
Rep in Congress District 6,Michael Waltz,REP,610,382,696,338,1416,64.54
Rep in Congress District 6,Write-in,,610,-,-,-,7,0.32
Rep in Congress District 6,James David Stockton III,DEM,611,165,172,100,437,39.98
Rep in Congress District 6,Michael Waltz,REP,611,126,324,203,653,59.74
Rep in Congress District 6,Write-in,,611,-,-,-,3,0.27
Rep in Congress District 6,James David Stockton III,DEM,612,225,336,181,742,50.86
Rep in Congress District 6,Michael Waltz,REP,612,154,355,205,714,48.94
Rep in Congress District 6,Write-in,,612,-,-,-,3,0.21
Rep in Congress District 6,James David Stockton III,DEM,613,220,250,99,569,38.5
Rep in Congress District 6,Michael Waltz,REP,613,165,502,238,905,61.23
Rep in Congress District 6,Write-in,,613,-,-,-,4,0.27
Rep in Congress District 6,James David Stockton III,DEM,614,52,306,363,721,86.04
Rep in Congress District 6,Michael Waltz,REP,614,-,-,-,113,13.48
Rep in Congress District 6,Write-in,,614,-,-,-,4,0.48
Rep in Congress District 6,James David Stockton III,DEM,615,564,690,421,1675,46.35
Rep in Congress District 6,Michael Waltz,REP,615,396,976,558,1930,53.4
Rep in Congress District 6,Write-in,,615,-,-,-,9,0.25
Rep in Congress District 6,James David Stockton III,DEM,616,227,235,61,523,34.82
Rep in Congress District 6,Michael Waltz,REP,616,238,561,174,973,64.78
Rep in Congress District 6,Write-in,,616,-,-,-,6,0.4
Rep in Congress District 6,James David Stockton III,DEM,617,155,124,48,327,34.75
Rep in Congress District 6,Michael Waltz,REP,617,191,318,101,610,64.82
Rep in Congress District 6,Write-in,,617,-,-,-,4,0.43
Rep in Congress District 6,James David Stockton III,DEM,618,-,-,-,14,20.9
Rep in Congress District 6,Michael Waltz,REP,618,-,-,-,53,79.1
Rep in Congress District 6,Write-in,,618,0,0,0,0,0
Rep in Congress District 6,James David Stockton III,DEM,619,-,-,-,104,28.97
Rep in Congress District 6,Michael Waltz,REP,619,56,138,61,255,71.03
Rep in Congress District 6,Write-in,,619,0,0,0,0,0
Rep in Congress District 6,James David Stockton III,DEM,620,285,329,133,747,39.97
Rep in Congress District 6,Michael Waltz,REP,620,256,588,277,1121,59.98
Rep in Congress District 6,Write-in,,620,-,-,-,1,0.05
Rep in Congress District 6,James David Stockton III,DEM,621,113,139,83,335,52.51
Rep in Congress District 6,Michael Waltz,REP,621,85,139,78,302,47.34
Rep in Congress District 6,Write-in,,621,-,-,-,1,0.16
Rep in Congress District 6,James David Stockton III,DEM,622,171,133,69,373,44.19
Rep in Congress District 6,Michael Waltz,REP,622,148,220,101,469,55.57
Rep in Congress District 6,Write-in,,622,-,-,-,2,0.24
Rep in Congress District 6,James David Stockton III,DEM,623,-,-,-,75,53.96
Rep in Congress District 6,Michael Waltz,REP,623,-,-,-,64,46.04
Rep in Congress District 6,Write-in,,623,0,0,0,0,0
Rep in Congress District 6,James David Stockton III,DEM,624,215,448,251,914,74.43
Rep in Congress District 6,Michael Waltz,REP,624,73,143,96,312,25.41
Rep in Congress District 6,Write-in,,624,-,-,-,2,0.16
Rep in Congress District 6,James David Stockton III,DEM,625,178,338,163,679,45.27
Rep in Congress District 6,Michael Waltz,REP,625,154,423,241,818,54.53
Rep in Congress District 6,Write-in,,625,-,-,-,3,0.2
Rep in Congress District 6,James David Stockton III,DEM,701,595,573,393,1561,38.42
Rep in Congress District 6,Michael Waltz,REP,701,531,1163,803,2497,61.46
Rep in Congress District 6,Write-in,,701,-,-,-,5,0.12
Rep in Congress District 6,James David Stockton III,DEM,702,304,268,163,735,34.93
Rep in Congress District 6,Michael Waltz,REP,702,323,683,360,1366,64.92
Rep in Congress District 6,Write-in,,702,-,-,-,3,0.14
Rep in Congress District 6,James David Stockton III,DEM,814,-,-,-,18,16.82
Rep in Congress District 6,Michael Waltz,REP,814,-,-,-,89,83.18
Rep in Congress District 6,Write-in,,814,0,0,0,0,0
